Dataset,Backbone,Train Accuracy,ZSL Accuracy,Num ZSL Classes,Attributes,,,,,,
CUB,Resnet18,0.7286931872367859,0.6927083730697632,10,64,,,,,,
CUB,Resnet18,0.7386728525161743,0.7174176573753357,10,64,,,,,,
CUB,Resnet18,0.735680103302002,0.6913723349571228,20,64,,,,,,
CUB,Resnet18,0.7351856827735901,0.6733173727989197,20,64,,,,,,
CUB,Resnet50,0.7891495823860168,0.7423418164253235,20,64,,,,,,
CUB,Resnet152,0.792305588722229,0.7483383417129517,20,64,,,,,,
CUB,Resnet18,0.7401821613311768,0.4928886294364929,50,64,,,,,,
CUB,Resnet18,0.7336856722831726,0.5131740570068359,50,64,,,,,,
CUB,Resnet18,0.7934405207633972,0.3856280446052551,100,64,,,,,,
CUB,Resnet18,0.8031401038169861,0.3582805097103119,100,64,,,,,,
CUB,VGG16,0.7216764688491821,0.6136161088943481,20,64,(no OneCycle),,,,,
CUB,VGG16,0.7648083567619324,0.5859375,20,64,,,,,,
CUB,ViTB16,0.8046124577522278,0.7171875238418579,20,64,,,,,,
CUB,ViTB16,0.8134196996688843,0.7381696701049805,20,64,SAM (50 epochs + scheduler),,,,,
CUB,ViTB16,0.8118013143539429,0.7502367496490479,20,64,SAM (70 epochs + scheduler),,,,,
CUB,ViTB16,0.8435267806053162,0.557542085647583,50,64,SAM (70 epochs + scheduler),,,,,
CUB,DeiTBase,0.8017377853393555,0.6864110231399536,20,64,,,,,,
CUB,DeiTBaseDistill,0.8534822463989258,0.6220532059669495,50,64,SAM (50 epochs + scheduler),,,,,
CUB,Resnet152,0.8090686202049255,0.572413980960846,50,64,,,,,,
CUB,DeiT3Med,0.8814228773117065,0.7534153461456299,50,64,SAM (70 epochs + scheduler),,,,,
CUB,DeiT3Med,0.8922092914581299,0.7534062266349792,Official split,64,SAM (50 epochs + scheduler),,,,,
CUB,DeiT3Med,0.8843967914581299,0.7888283133506775,Official split,80,SAM (50 epochs + scheduler),,,,,
CUB,DeiT3Base,0.898497998714447,0.795640230178833,Official split,80,SAM (50 epochs + scheduler),,,,,
CUB,DeiT3Med,0.9134920835494995,0.7949596047401428,Official split,80,SAM (50 epochs + scheduler),Didn't train on valclasses1,,,,
CUB,DeiT3Med,0.9110662937164307,0.7922340035438538,Official split,80,SAM (50 epochs + scheduler),Didn't train on valclasses2,,,,
CUB,DeiT3Med,0.9261967539787292,0.7854228615760803,Official split,80,SAM (50 epochs + scheduler),Didn't train on valclasses3,,,,
CUB,DeiT3Med,0.887456476688385,0.8290190100669861,Official split,80,SAM (50 epochs + scheduler),,,,,
CUB,DeiT3Med,^,0.5830922004580498,Official split,80,1 image per class,Averaged over 100 combinations,0.6537536382675171,0.47651681303977966,,
CUB,DeiT3Med,^,0.7668715411424637,Official split,80,5 images per class,Averaged over 100 combinations,0.7883694171905518,0.7320572733879089,,
CUB,DeiT3Med,^,0.8006809514760971,Official split,80,10 images per class,Averaged over 100 combinations,0.8184027671813965,0.7835426926612854,,
CUB,DeiT3Med,^,0.8229652869701386,Official split,80,30 images per class,Averaged over 100 combinations,0.8418541550636292,0.7982277274131775,,
CUB,DeiT3Med,^,0.8201636075973511,Official split,80,CUB split,,,,,
CUB,DeiT3Med,0.8810226321220398,0.7976837754249573,Official split,80,CUB split,,,,,
,,,,,,,,,,,
AwA2,DeiT3Med,0.9446976184844971,0.6935011148452759,Official split,24,5 epochs - k = features/2,5 images per class,ft_weight=1,,,
